doc_num,statute_code,js_date,doc_incarcerated_term_yrs,statute_desc,violent,file_month,pwid
282691,63-2-401,2018-12-12,7,DIST OF CDS/POSS W/INTENT,N,2018-12-01,TRUE
666241,63-2-401,2019-06-05,15,DIST OF CDS/POSS W/INTENT,N,2019-06-01,TRUE
717586,63-2-401,2018-09-17,5,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
723424,63-2-401,2019-03-26,3,DIST OF CDS/POSS W/INTENT,N,2019-03-01,TRUE
801132,63-2-401,2018-08-29,0.48,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
801155,63-2-401,2018-08-21,3.95,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
801155,63-2-401,2018-08-21,3,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
723455,63-2-401,2018-01-17,1,DIST OF CDS/POSS W/INTENT,N,2018-01-01,TRUE
666289,63-2-401,2018-10-25,2.65,DIST OF CDS/POSS W/INTENT,N,2018-10-01,TRUE
723458,63-2-401,2017-01-06,2,DIST OF CDS/POSS W/INTENT,N,2017-01-01,TRUE
548376,63-2-401,2017-04-21,4,DIST OF CDS/POSS W/INTENT,N,2017-04-01,TRUE
478492,63-2-401,2017-06-14,8,DIST OF CDS/POSS W/INTENT,N,2017-06-01,TRUE
666324,63-2-401,2018-11-15,7,DIST OF CDS/POSS W/INTENT,N,2018-11-01,TRUE
723514,63-2-401,2019-06-03,3,DIST OF CDS/POSS W/INTENT,N,2019-06-01,TRUE
801334,63-2-401,2018-08-15,5,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
801364,63-2-401,2018-05-01,6,DIST OF CDS/POSS W/INTENT,N,2018-05-01,TRUE
801425,63-2-401,2018-08-15,5,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
661275,63-2-401,2020-02-03,10,DIST OF CDS/POSS W/INTENT,N,2020-02-01,TRUE
801493,63-2-401,2018-08-06,15,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
666355,63-2-401,2017-12-12,8,DIST OF CDS/POSS W/INTENT,N,2017-12-01,TRUE
801505,63-2-401,2018-08-21,3,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
258609,63-2-401,2017-10-04,5,DIST OF CDS/POSS W/INTENT,N,2017-10-01,TRUE
801525,63-2-401,2018-08-21,3,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
801665,63-2-401,2018-08-23,2,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
371178,63-2-401,2018-01-08,12,DIST OF CDS/POSS W/INTENT,N,2018-01-01,TRUE
801794,63-2-401,2018-05-03,4,DIST OF CDS/POSS W/INTENT,N,2018-05-01,TRUE
791134,63-2-401,2018-04-02,5,DIST OF CDS/POSS W/INTENT,N,2018-04-01,TRUE
666410,63-2-401,2017-07-21,6.44,DIST OF CDS/POSS W/INTENT,N,2017-07-01,TRUE
723717,63-2-401,2018-02-05,5,DIST OF CDS/POSS W/INTENT,N,2018-02-01,TRUE
204665,63-2-401,2019-03-04,9,DIST OF CDS/POSS W/INTENT,N,2019-03-01,TRUE
791141,63-2-401,2018-03-07,20,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
478886,63-2-401,2018-04-26,7,DIST OF CDS/POSS W/INTENT,N,2018-04-01,TRUE
723864,63-2-401,2018-06-27,10,DIST OF CDS/POSS W/INTENT,N,2018-06-01,TRUE
232650,63-2-401,2020-02-19,6,DIST OF CDS/POSS W/INTENT,N,2020-02-01,TRUE
605095,63-2-401,2019-04-18,5,DIST OF CDS/POSS W/INTENT,N,2019-04-01,TRUE
232660,63-2-401,2019-08-27,10,DIST OF CDS/POSS W/INTENT,N,2019-08-01,TRUE
791179,63-2-401,2018-03-29,5,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
820316,63-2-401,2018-08-06,3,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
204764,63-2-401,2018-01-19,6,DIST OF CDS/POSS W/INTENT,N,2018-01-01,TRUE
820357,63-2-401,2018-08-13,8,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
820361,63-2-401,2018-08-16,3.6,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
820361,63-2-401,2018-08-16,3.91,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
820361,63-2-401,2018-08-16,3.59,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
724065,63-2-401,2017-01-30,5,DIST OF CDS/POSS W/INTENT,N,2017-01-01,TRUE
791187,63-2-401,2018-03-07,5,DIST OF CDS/POSS W/INTENT,N,2018-03-01,TRUE
666682,63-2-401,2018-12-05,13,DIST OF CDS/POSS W/INTENT,N,2018-12-01,TRUE
371433,63-2-401,2017-04-06,4,DIST OF CDS/POSS W/INTENT,N,2017-04-01,TRUE
549115,63-2-401,2019-12-18,20,DIST OF CDS/POSS W/INTENT,N,2019-12-01,TRUE
820434,63-2-401,2018-05-01,10,DIST OF CDS/POSS W/INTENT,N,2018-05-01,TRUE
666696,63-2-401,2017-10-20,2.29,DIST OF CDS/POSS W/INTENT,N,2017-10-01,TRUE
605236,63-2-401,2018-08-14,1,DIST OF CDS/POSS W/INTENT,N,2018-08-01,TRUE
666696,63-2-401,2017-10-20,3.71,DIST OF CDS/POSS W/INTENT,N,2017-10-01,TRUE
204798,63-2-401,2018-09-11,20,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
422488,63-2-401,2017-05-05,8,DIST OF CDS/POSS W/INTENT,N,2017-05-01,TRUE
605246,63-2-401,2018-09-13,25,DIST OF CDS/POSS W/INTENT,N,2018-09-01,TRUE
542425,63-2-401,2017-06-15,4,DIST OF CDS/POSS W/INTENT,N,2017-06-01,TRUE
