court,casenum,file_date,top_ct_desc,top_ct_statute
ADAIR,CF-2017-00006,2017-01-09,UNLAWFUL POSSESSION OD CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00023,2017-01-13,POSSESSION WITH INTENT TO DISTRIBUTE,63.2.401
ADAIR,CF-2017-00049,2017-02-08,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00058,2017-02-22,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00066,2017-02-24,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00066,2017-02-24,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00072,2017-02-27,DISTRIBUTION OF CONTROLLED DANGEROUS SUBSTANCE - INCLUDING POSSESSION WITH INTENT TO DISTRIBUTE,63.2.401.A.1
ADAIR,CF-2017-00077,2017-03-08,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00085,2017-03-16,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00090,2017-03-21,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00133,2017-05-02,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00136,2017-05-03,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00197,2017-07-31,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00198,2017-07-31,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00213,2017-09-19,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.402.B.2
ADAIR,CF-2017-00214,2017-09-19,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00224,2017-09-27,DISTRIBUTION OF CONTROLLED DANGEROUS SUBSTANCE - INCLUDING POSSESSION WITH INTENT TO DISTRIBUTE,63.2.401.A.1
ADAIR,CF-2017-00225,2017-09-27,DISTRIBUTION OF CONTROLLED DANGEROUS SUBSTANCE - INCLUDING POSSESSION WITH INTENT TO DISTRIBUTE,63.2.401.A.1
ADAIR,CF-2017-00228,2017-09-29,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00247,2017-11-20,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00268,2017-12-13,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2017-00273,2017-12-19,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00023,2018-01-24,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00037,2018-03-07,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00044,2018-03-14,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00046,2018-03-16,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00055,2018-03-27,UNLAWFUL POSSESSION OF CONTROLLED DANGEROUS DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00056,2018-03-27,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00057,2018-04-03,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00062,2018-04-06,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00081,2018-05-11,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00083,2018-05-11,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00089,2018-06-05,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00105,2018-06-21,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00107,2018-06-25,DISTRIBUTION OF CONTROLLED DANGEROUS SUBSTANCE - INCLUDING POSSESSION WITH INTENT TO DISTRIBUTE,63.2.401.A.1
ADAIR,CF-2018-00108,2018-06-25,DISTRIBUTION OF CONTROLLED DANGEROUS SUBSTANCE - INCLUDING POSSESSION WITH INTENT TO DISTRIBUTE,63.2.401.A.1
ADAIR,CF-2018-00115,2018-06-27,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00117,2018-06-29,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00153,2018-08-17,DISTRIBUTION OF CONTROLLED DANGEROUS SUBSTANCE - INCLUDING POSSESSION WITH INTENT TO DISTRIBUTE,63.2.401.A.1
ADAIR,CF-2018-00168,2018-09-12,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
ADAIR,CF-2018-00172,2018-09-20,UNLAWFUL POSSESSION OF CONTROLLED DRUG WITH INTENT TO DISTRIBUTE,63.2.401.B.2
