court,casenum,file_date,top_ct_desc,top_ct_statute
ADAIR,CF-2017-00203,2017-08-16,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2017-00234,2017-10-23,TRAFFICKING IN ILLEGAL DRUGS,63.2.405.B.4.a
ADAIR,CF-2017-00243,2017-11-09,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2017-00246,2017-11-20,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2017-00248,2017-11-20,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2018-00018,2018-01-23,TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C.4
ADAIR,CF-2018-00063,2018-04-06,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2018-00126,2018-07-11,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2018-00127,2018-07-11,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2018-00148,2018-08-08,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2018-00195,2018-10-29,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,63.2.415.C
ADAIR,CF-2018-00212,2018-12-04,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2018-00213,2018-12-04,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2018-00217,2018-12-04,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2018-00217,2018-12-04,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2019-00044,2019-04-26,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2019-00070,2019-06-28,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2019-00081,2019-07-23,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2019-00082,2019-07-23,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2019-00117,2019-10-15,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2019-00149,2019-12-13,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2019-00152,2019-12-18,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2019-00156,2019-12-30,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2020-00011,2020-02-04,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2020-00012,2020-02-04,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ADAIR,CF-2020-00029,2020-02-28,TRAFFICKING IN ILLEGAL DRUGS,63.2.415
ALFALFA,CF-2017-00028,2017-04-24,TRAFFICKING IN ILLEGAL DRUGS,NA
ATOKA,CF-2017-00040,2017-02-10,EMPLOYING MINORS IN TRAFFICKING,NA
ATOKA,CF-2017-00041,2017-02-10,EMPLOYING MINORS IN TRAFFICKING,NA
ATOKA,CF-2017-00156,2017-06-26,TRAFFICKING IN ILLEGAL DRUGS,NA
ATOKA,CF-2017-00167,2017-07-13,TRAFFICKING IN ILLEGAL DRUGS,NA
ATOKA,CF-2017-00202,2017-09-12,TRAFFICKING IN ILLEGAL DRUGS - AFCF,NA
ATOKA,CF-2017-00203,2017-09-12,TRAFFICKING IN ILLEGAL DRUGS,NA
ATOKA,CF-2017-00255,2017-12-29,TRAFFICKING IN ILLEGAL DRUGS,NA
ATOKA,CF-2018-00035,2018-04-11,TRAFFICKING IN ILLEGAL DRUGS,NA
ATOKA,CF-2018-00044,2018-04-30,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
ATOKA,CF-2018-00057,2018-06-04,TRAFFICKING IN ILLEGAL DRUGS - AFCF,NA
ATOKA,CF-2018-00080,2018-06-22,TRAFFICKING IN ILLEGAL DRUGS,NA
ATOKA,CF-2019-00007,2019-01-14,TRAFFICKING IN ILLEGAL DRUGS - AFCF,NA
BEAVER,CF-2017-00021,2017-05-16,TRAFFICKING IN ILLEGAL DRUGS (METHAMPHETAMINE),NA
BEAVER,CF-2017-00046,2017-10-31,TRAFFICKING IN ILLEGAL DRUGS (METHAMPHETAMINE),NA
BEAVER,CF-2017-00047,2017-10-31,AGGRAVATED TRAFFICKING IN ILLEGAL DRUGS,NA
